net,length_um
_0792_,12.55µm
_0505_,12.49µm
_0098_,12.43µm
_0417_,12.43µm
net359,12.43µm
_0713_,12.42µm
_0735_,12.3µm
net214,12.26µm
net4,12.235µm
_0793_,12.19µm
delay_count_reg_0[9],12.14µm
delay_count_reg_1[12],12.14µm
net515,12.14µm
_0623_,12.12µm
net298,12.06µm
net467,12.045µm
net573,12.01µm
_0070_,11.95µm
_0635_,11.95µm
_0823_,11.95µm
delay_chain_inst.chain_2\[23\],11.95µm
net330,11.94µm
net348,11.94µm
_0890_,11.93µm
_0087_,11.89µm
net297,11.89µm
_0502_,11.88µm
_0569_,11.88µm
_0616_,11.88µm
_0089_,11.875µm
_0090_,11.875µm
net392,11.84µm
_0086_,11.78µm
_0490_,11.76µm
net22,11.725µm
net67,11.725µm
delay_count_reg_1[5],11.72µm
delay_count_reg_1[9],11.72µm
_0695_,11.7µm
net390,11.68µm
net25,11.655µm
net27,11.655µm
delay_chain_inst.chain_0_done,11.59µm
net559,11.53µm
_0928_,11.52µm
_0448_,11.47µm
_0698_,11.47µm
_0762_,11.46µm
net529,11.46µm
_0846_,11.4µm
_0691_,11.35µm
net449,11.35µm
net55,11.34µm
delay_count_reg_2[6],11.3µm
delay_count_reg_2[8],11.3µm
delay_chain_inst.chain_1\[13\],11.29µm
state\[1\],11.275µm
_0728_,11.22µm
status_reg[3],11.22µm
_0578_,11.17µm
_0611_,11.17µm
_0829_,11.17µm
net210,11.17µm
delay_chain_inst.cycle_count\[7\],11.06µm
_0369_,11.05µm
net422,11.05µm
_0939_,11.04µm
_0507_,10.99µm
_0703_,10.99µm
_0745_,10.99µm
_0761_,10.98µm
_0204_,10.93µm
_0208_,10.93µm
_0598_,10.93µm
_0940_,10.93µm
delay_count_reg_0[1],10.89µm
net270,10.87µm
_0828_,10.855µm
_0834_,10.8µm
net500,10.71µm
_0808_,10.7µm
delay_count_reg_2[7],10.7µm
ro_count_1\[3\],10.635µm
_0452_,10.57µm
net593,10.57µm
_0451_,10.56µm
_0553_,10.56µm
_0699_,10.53µm
_0723_,10.51µm
_0725_,10.51µm
_0739_,10.51µm
net420,10.51µm
_0195_,10.45µm
_0436_,10.45µm
net216,10.41µm
net15,10.39µm
net36,10.39µm
net453,10.38µm
delay_chain_inst.cycle_count\[11\],10.355µm
_0650_,10.33µm
_0473_,10.32µm
_0577_,10.32µm
_0375_,10.275µm
_0015_,10.15µm
net364,10.15µm
net389,10.15µm
net429,10.15µm
net549,10.15µm
net595,10.15µm
_0356_,10.14µm
_0427_,10.14µm
_0457_,10.09µm
_0465_,10.09µm
_0514_,10.09µm
net405,10.09µm
net538,10.09µm
_0600_,10.08µm
delay_count_reg_0[14],10.04µm
_0463_,10.03µm
_0923_,10.03µm
net380,10.03µm
delay_chain_inst.cycle_count\[5\],9.97µm
status_reg[2],9.96µm
net587,9.96µm
net13,9.9µm
_0581_,9.885µm
delay_count_reg_0[15],9.86µm
