net,length_um
_0413_,5.24µm
net381,5.225µm
_0051_,5.22µm
_0095_,5.22µm
_0563_,5.22µm
_0565_,5.22µm
net305,5.16µm
net358,5.16µm
net362,5.16µm
_0025_,5.14µm
_0072_,5.14µm
_0238_,5.14µm
net464,5.12µm
_0068_,5.1µm
_0080_,5.1µm
_0121_,5.1µm
_0235_,5.1µm
_0250_,5.1µm
_0333_,5.1µm
_0031_,5.07µm
_0156_,5.07µm
net271,5.06µm
net341,5.06µm
net354,5.06µm
net371,5.06µm
net405,5.06µm
_0098_,5.04µm
_0327_,5.04µm
_0335_,5.04µm
_0408_,5.02µm
_0157_,4.99µm
_0053_,4.97µm
_0144_,4.97µm
_0308_,4.94µm
_0457_,4.94µm
_0236_,4.93µm
_0334_,4.92µm
_0641_,4.92µm
delay_chain_inst.delay_count_1\[10\],4.92µm
net369,4.92µm
net421,4.92µm
_0057_,4.88µm
_0222_,4.88µm
_0280_,4.88µm
_0292_,4.88µm
_0299_,4.88µm
_0312_,4.88µm
_0336_,4.88µm
_0340_,4.88µm
_0023_,4.87µm
_0026_,4.87µm
_0007_,4.8µm
_0118_,4.8µm
_0345_,4.8µm
_0480_,4.8µm
_0560_,4.8µm
_0693_,4.8µm
_0708_,4.8µm
net254,4.8µm
_0501_,4.765µm
_0097_,4.76µm
_0696_,4.76µm
_0086_,4.68µm
_0119_,4.68µm
_0664_,4.68µm
net296,4.66µm
_0022_,4.61µm
_0162_,4.58µm
_0310_,4.58µm
_0434_,4.58µm
_0522_,4.58µm
net229,4.58µm
_0090_,4.56µm
_0304_,4.56µm
_0350_,4.56µm
_0372_,4.56µm
