2026-06-19 09:35:31 +0200: Memory Usage (453584K) : pext_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453584K) : nexthv_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453584K) : pexthv_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453760K) : graphgate_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453760K) : sinwg_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453760K) : sinwg_filler has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453936K) : sinwg_nofill has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (453936K) : mempad_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454288K) : topvia1_drw has 1750 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_drw has 994 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_pin has 14 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_mask has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_filler has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_nofill has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_slit has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_text has 2 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_noqrc has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_res has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_iprobe has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal1_diffprb has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : inldpwl_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : polyres_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : polyres_pin has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : vmim_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : nbulaycut_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : antmetal1_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topvia2_drw has 91 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_drw has 117 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_pin has 13 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_mask has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_filler has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_nofill has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_slit has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_text has 2 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_noqrc has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_res has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_iprobe has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : topmetal2_diffprb has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : snsring_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : sensor_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : snsarms_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : snscmosvia_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : colwind_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : flm_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : hafniumox_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : memvia_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : thinfilmres_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : rfmem_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2m3 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2m4 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2m5 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2tm1 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2tm2 has 0 polygons
